value,filter,filter
3594.8,3590.341561,0.883129837
3595,3590.497919,0.719393848
3595,3590.667125,0.376844675
3593.6,3590.849007,-1.24789481
3595.6,3591.04233,0.516407363
3594.6,3591.245658,-0.753709709
3595.2,3591.457731,-0.370587176
3595,3591.677094,-0.786015515
3595.2,3591.902117,-0.775553222
3595.2,3592.131118,-0.952851469
3595,3592.362323,-1.294217446
3594,3592.593578,-2.340933825
3594,3592.822012,-2.311138825
3593.8,3593.044318,-2.458564521
3594.6,3593.257526,-1.63372002
3594.2,3593.459504,-2.023081702
3594.8,3593.648895,-1.413926581
3594,3593.824784,-2.182125328
3594.8,3593.986469,-1.341609017
3593,3594.133243,-3.032388407
3593,3594.263867,-2.810441875
3592.4,3594.376442,-3.156461032
3592,3594.468904,-3.248828908
3591,3594.53915,-3.867344678
3591,3594.58497,-3.441901201
3590.8,3594.604432,-3.225011704
3591.4,3594.596495,-2.253784855
3590.8,3594.561235,-2.502063794
3591,3594.499513,-1.945236597
3593,3594.41313,0.25708685
3592,3594.305402,-0.613221452
3592,3594.180379,-0.430397072
3592,3594.041676,-0.25914869
3592,3593.8925,-0.099299311
3591.4,3593.735757,-0.514101864
3591.4,3593.573793,-0.305626821
3591.4,3593.408463,-0.112393782
3594.4,3593.242115,2.883287409
3594.8,3593.078963,3.068965162
3594.2,3592.92459,2.276995215
3590.8,3592.783153,-1.062267618
3591.4,3592.655366,-0.237512765
3591.4,3592.539664,-0.066328779
3594,3592.434926,2.532334135
3591.4,3592.341442,-0.072709524
3592.6,3592.25956,1.204000368
3592.6,3592.18903,1.198939154
3592.6,3592.129694,1.190160192
3592.6,3592.081493,1.177889174
3594,3592.044474,2.477081817
3593.6,3592.019269,1.917686288
3593.6,3592.006754,1.788854407
3594.2,3592.007464,2.228075734
3592.6,3592.021414,0.535075472
3592.6,3592.047571,0.542471243
3594,3592.084144,1.861435764
3594,3592.129963,1.69754061
3594.2,3592.184755,1.729269457
3595,3592.248583,2.308519492
3595,3592.3218,2.051127806
3595,3592.404865,1.808582337
3595,3592.497903,1.580479261
3595,3592.600575,1.36641016
3594.4,3592.712046,0.602507286
3595.2,3592.831012,1.237331434
3594,3592.955918,-0.092152956
3594.8,3593.084951,0.612149856
3594.8,3593.21628,0.475292698
3595.2,3593.348535,0.724420976
3595,3593.480791,0.372867191
3594.4,3593.612097,-0.318125171
3594.6,3593.741111,-0.176435558
3592.6,3593.865879,-2.118678017
3592.8,3593.983505,-1.752044244
3594.6,3594.090973,0.085047603
3594.6,3594.186907,0.012578474
3593.4,3594.271342,-1.179938059
3593.4,3594.344076,-1.097412582
3593.2,3594.404304,-1.205511431
3593.6,3594.451326,-0.729376697
3593.2,3594.484915,-1.056045867
3594.2,3594.505376,-0.022068722
3594.2,3594.513748,-0.049512963
3594.2,3594.511721,-0.073713807
3594.2,3594.501115,-0.094860395
3593.2,3594.483376,-1.052228553
3594.2,3594.459413,-0.010732052
3594.2,3594.430144,-0.031329112
3594.2,3594.396915,-0.049329809
3593.4,3594.360986,-0.81617115
3593,3594.322853,-1.110709327
3593.4,3594.282331,-0.610679908
3592.6,3594.239056,-1.291619446
3593.4,3594.192722,-0.37931665
3594.4,3594.143562,0.616753141
3594.4,3594.092931,0.552368312
3594.4,3594.042845,0.492208902
3594.6,3593.995208,0.623918768
3594.6,3593.951653,0.548092805
3594.6,3593.913543,0.477486711
3594.4,3593.881861,0.224069958
3594.6,3593.857164,0.374687206
3594.6,3593.839741,0.316976936
3594,3593.829605,-0.299745048
3594,3593.826236,-0.277971788
3593.2,3593.828483,-1.007936467
3594.2,3593.834853,0.046350628
3594.4,3593.844241,0.224808474
3594.4,3593.856302,0.192977805
3594.2,3593.870983,-0.024117397
3594.2,3593.888059,-0.027368373
3594.4,3593.90717,0.157998529
3594.6,3593.928082,0.320497324
3594.6,3593.950789,0.273749091
3594.4,3593.975331,0.042744917
3594.8,3594.001646,0.402197088
3594.2,3594.02959,-0.222896875
3594.2,3594.058785,-0.209091591
3594.6,3594.088631,0.180284155
3594.8,3594.118766,0.334532244
3595,3594.149288,0.468036711
3595,3594.180561,0.394345065
3595,3594.212968,0.326193146
3595,3594.246763,0.263348332
3595.2,3594.28209,0.393399704
3595.6,3594.319178,0.504705061
3595.4,3594.358444,0.598547884
3596,3594.40039,0.863984044
3595.4,3594.445482,0.151697252
3595.4,3594.493872,0.084876453
3595,3594.545155,-0.351335765
3596,3594.59867,0.580320842
3596,3594.654145,0.457532342
3596,3594.711789,0.344717645
3596.2,3594.771867,0.429260623
3596.2,3594.834546,0.311497802
3595.4,3594.899733,-0.547344708
3596,3594.96682,0.012661141
3596,3595.035033,-0.058336407
3596,3595.103842,-0.121824422
3596.2,3595.172871,0.009620563
3596,3595.241788,-0.251441566
3596,3595.310219,-0.293232847
3596.4,3595.377765,0.046541235
3596.8,3595.444328,0.344686283
3595.4,3595.509961,-1.086503745
3597,3595.574397,0.475562851
3597,3595.637564,0.346021538
3596.6,3595.699992,-0.147561822
3596,3595.761957,-0.770733951
3596.6,3595.823051,-0.188730432
3597,3595.882873,-0.238462165
3596.6,3595.941479,0.094193571
3596.6,3595.998975,-0.365287163
3597,3596.055285,-0.017360172
3597,3596.110457,-0.086832724
3596,3596.164508,-1.087334446
3596,3596.216815,-1.023160828
3596,3596.266189,-0.959379085
3596,3596.31148,-0.896185036
3596.8,3596.351999,-0.082488494
3597.6,3596.387971,0.635874475
3597,3596.420554,-0.049959414
3597,3596.45099,-0.090941221
3597,3596.480028,-0.126366901
3597,3596.508108,-0.15660449
3597.4,3596.535636,0.193627268
3597.4,3596.563157,0.125516093
3597,3596.591222,-0.311060688
3597.8,3596.620197,0.433222769
3597.2,3596.650423,-0.228276106
3597.2,3596.682119,-0.246457259
3597,3596.7151,-0.448384011
3597.8,3596.74904,0.316134475
3598,3596.78404,0.424750691
3598.6,3596.820833,0.893130581
3598,3596.860448,0.172608078
3598.8,3596.903761,0.850460794
3598.2,3596.951405,0.126925675
3599,3597.00385,0.802227309
3599,3597.061546,0.640033001
3599.2,3597.125038,0.679383704
3599.2,3597.194791,0.520393114
3598.2,3597.270784,-0.563746844
3598.2,3597.352086,-0.577537374
3598.4,3597.437071,-0.39843204
3598.4,3597.524137,-0.426064945
3598,3597.611874,-0.82353606
3598,3597.698793,-0.792796849
3599,3597.783561,0.178993468
3598.4,3597.865492,-0.468086792
3598.8,3597.944334,-0.096364781
3598.8,3598.019925,-0.143588601
3598.8,3598.092228,-0.18426285
3599,3598.161304,-0.031002736
3599.2,3598.227345,0.10435639
3598.8,3598.29064,-0.340539103
3597.4,3598.350984,-1.669465313
3597.4,3598.407048,-1.514097667
3597.2,3598.456761,-1.553069724
3597.2,3598.498158,-1.387145222
3597.2,3598.529733,-1.229230496
3597,3598.550435,-1.267064507
3597.2,3598.559618,-0.913501244
3598.4,3598.557339,0.346318484
3598.6,3598.544876,0.51789496
3597,3598.524138,-1.022889927
3596.2,3598.496034,-1.620665278
3596.4,3598.460026,-1.19424518
3597.4,3598.415446,-0.055248192
3597.6,3598.362743,0.20131353
3596,3598.303063,-1.261350629
3597,3598.237106,-0.097208966
3596.4,3598.165219,-0.569169372
3597,3598.088003,0.149039147
3597.4,3598.006513,0.596841276
3597.8,3597.922441,0.990582701
3597.6,3597.837939,0.770086877
3598,3597.755144,1.136240158
3597.8,3597.675995,0.88990629
3597.8,3597.602127,0.856289027
3597.4,3597.534669,0.446855931
3597.4,3597.474133,0.460152679
3597.6,3597.420619,0.658229239
3597.8,3597.374197,0.829843469
3597.6,3597.33503,0.601037286
3597.8,3597.303205,0.771907254
3597,3597.278515,-0.020907302
3597.4,3597.260299,0.408207869
3597.4,3597.247681,0.409158789
3598,3597.240067,0.971503901
3596.6,3597.237052,-0.417032974
3596.4,3597.237629,-0.510708166
3596,3597.239908,-0.77637885
3596.4,3597.241754,-0.252518284
3596.6,3597.241515,0.024765907
3597.2,3597.238401,0.64602028
3597,3597.232454,0.439021914
3596.6,3597.224013,0.066457494
3595.6,3597.212939,-0.825049786
3597.2,3597.198602,0.837587193
3597.2,3597.180932,0.796183859
3595.6,3597.160477,-0.747884198
3597.2,3597.137427,0.901948797
3597.2,3597.112038,0.84856211
3595.2,3597.084879,-1.082326951
3595,3597.055481,-1.0860704
3596.4,3597.022448,0.422184877
3596.4,3596.985202,0.435473157
3596.4,3596.944352,0.44489004
3596.6,3596.900892,0.638538588
3596.6,3596.855872,0.617459997
3595,3596.810013,-0.907703333
3594.6,3596.762879,-1.118502016
3595,3596.71302,-0.544007926
3595,3596.659116,-0.407948237
3595,3596.600523,-0.283802706
3593.6,3596.536748,-1.48573297
3593.6,3596.466738,-1.218539534
3593.6,3596.389046,-0.972131515
3593.6,3596.302579,-0.745626871
3592.4,3596.206618,-1.665065181
3592,3596.100145,-1.709816438
3592,3595.981791,-1.358098352
3593.4,3595.850798,0.280103028
3593.4,3595.707984,0.411359355
3592.6,3595.555302,-0.223948307
3592.4,3595.394542,-0.21586326
3592.4,3595.226939,-0.016019976
3592.4,3595.053625,0.163659516
3592.2,3594.875851,0.136387996
3592.2,3594.694892,0.302411826
3592.2,3594.512011,0.449800168
3593.2,3594.32874,1.518664387
3593,3594.147215,1.326010121
3593.2,3593.969944,1.524475791
3592.2,3593.79907,0.563515929
3592.8,3593.63595,1.216409839
3594.8,3593.481934,3.099680213
3593.2,3593.339239,1.358076472
3594.8,3593.21028,2.817946766
3594.8,3593.097229,2.582216494
3593,3593.001852,0.664448853
3593.2,3592.924419,0.845702942
3593.4,3592.863783,0.998365666
3593.8,3592.818658,1.312284496
3592.6,3592.787882,0.075450446
3594.4,3592.770128,1.799854772
3594,3592.764437,1.239465174
3593.4,3592.770278,0.546118368
3592.6,3592.786472,-0.25954627
3592.6,3592.810787,-0.219227237
3592.4,3592.840522,-0.372176004
