value,filter
3594.4,3592.958863
3594.6,3593.003904
3594.6,3593.048224
3594,3593.091828
3594,3593.134714
3593.2,3593.176867
3594.2,3593.21827
3594.4,3593.258908
3594.4,3593.298777
3594.2,3593.337882
3594.2,3593.376221
3594.4,3593.413797
3594.6,3593.450611
3594.6,3593.486671
3594.4,3593.521986
3594.8,3593.556566
3594.2,3593.590419
3594.2,3593.623551
3594.6,3593.655964
3594.8,3593.687665
3595,3593.718664
3595,3593.748982
3595,3593.778639
3595,3593.807656
3595.2,3593.836053
3595.4,3593.863853
3595.6,3593.891082
3596,3593.917773
3595.4,3593.943961
3595.4,3593.969679
3595,3593.99495
3596,3594.019793
3596,3594.044234
3596,3594.068305
3596.2,3594.092042
3596.2,3594.11548
3595.4,3594.138653
3596,3594.161585
3596,3594.184295
3596,3594.206807
3596.2,3594.229145
3596,3594.251332
3596,3594.273391
3596.4,3594.295341
3596.8,3594.317206
3595.4,3594.339011
3597,3594.360777
3597,3594.382524
3596.6,3594.404285
3596,3594.426086
3596.6,3594.447944
3597,3594.469873
3596.6,3594.491893
3596.6,3594.514025
3597,3594.536287
3597,3594.558695
3596,3594.581267
3596,3594.604007
3596,3594.626907
3596,3594.649957
3596.8,3594.673145
3597.6,3594.696476
3597,3594.719965
3597,3594.743634
3597,3594.767496
3597,3594.791561
3597.4,3594.815839
3597.4,3594.840344
3597,3594.865088
3597.8,3594.890083
3597.2,3594.915341
3597.2,3594.940872
3597,3594.966682
3597.8,3594.992771
3598,3595.019146
3598.6,3595.045827
3598,3595.072838
3598.8,3595.100205
3598.2,3595.127955
3599,3595.156113
3599,3595.184705
3599.2,3595.213765
3599.2,3595.243324
3598.2,3595.273412
3598.2,3595.304041
3598.4,3595.335212
3598.4,3595.366922
3598,3595.399167
3598,3595.431937
3599,3595.46522
3598.4,3595.499012
3598.8,3595.53331
3598.8,3595.568114
3598.8,3595.603421
3599,3595.639232
3599.2,3595.675547
3598.8,3595.712366
3597.4,3595.749681
3597.4,3595.787464
3597.2,3595.825668
3597.2,3595.864238
3597.2,3595.90312
3597,3595.94226
3597.2,3595.981602
3598.4,3596.0211
3598.6,3596.060721
3597,3596.100446
3596.2,3596.140241
3596.4,3596.180046
3597.4,3596.219796
3597.6,3596.259438
3596,3596.298932
3597,3596.33823
3596.4,3596.377278
3597,3596.416025
3597.4,3596.454428
3597.8,3596.492457
3597.6,3596.530093
3598,3596.567324
3597.8,3596.604142
3597.8,3596.640539
3597.4,3596.676505
3597.4,3596.712026
3597.6,3596.747085
3597.8,3596.781668
3597.6,3596.815762
3597.8,3596.84936
3597,3596.882453
3597.4,3596.915023
3597.4,3596.947052
3598,3596.978528
3596.6,3597.00944
3596.4,3597.03977
3596,3597.069483
3596.4,3597.098536
3596.6,3597.12689
3597.2,3597.154516
3597,3597.181396
3596.6,3597.207519
3595.6,3597.232865
3597.2,3597.257407
3597.2,3597.281126
3595.6,3597.304013
3597.2,3597.326053
3597.2,3597.347234
3595.2,3597.367551
3595,3597.386981
3596.4,3597.405487
3596.4,3597.423038
3596.4,3597.439623
3596.6,3597.45524
3596.6,3597.469888
3595,3597.483567
3594.6,3597.496257
3595,3597.50792
3595,3597.518518
3595,3597.528017
3593.6,3597.536386
3593.6,3597.54358
3593.6,3597.549543
3593.6,3597.554222
3592.4,3597.557561
3592,3597.559497
3592,3597.559956
3593.4,3597.558867
3593.4,3597.556179
3592.6,3597.551862
3592.4,3597.545886
3592.4,3597.538215
3592.4,3597.528812
3592.2,3597.517646
3592.2,3597.50469
3592.2,3597.489917
3593.2,3597.473311
3593,3597.454872
3593.2,3597.434611
3592.2,3597.412546
3592.8,3597.388687
3594.8,3597.363054
3593.2,3597.335688
3594.8,3597.306644
3594.8,3597.275987
3593,3597.243786
3593.2,3597.210096
3593.4,3597.174956
3593.8,3597.138406
3592.6,3597.100488
3594.4,3597.061246
3594,3597.020731
3593.4,3596.979005
3592.6,3596.936119
3592.6,3596.89211
3592.4,3596.847002
3592.2,3596.800818
3592.2,3596.753576
3592.2,3596.705294
3592,3596.65599
3592.2,3596.605684
3591,3596.554394
3592.2,3596.502132
3591.4,3596.44891
3591,3596.394742
3592,3596.339639
3592,3596.283619
3590.4,3596.226705
3590.4,3596.16891
3590.2,3596.110227
3590,3596.050647
3590,3595.99016
3588.6,3595.928751
3588.6,3595.866394
3588,3595.80305
3588,3595.738673
3588,3595.673217
3586.8,3595.606639
3586.8,3595.538886
3586.6,3595.469899
3586.8,3595.399621
3586.8,3595.328005
3586.4,3595.255008
3586.6,3595.180594
3586,3595.104729
3586.2,3595.02738
3586,3594.948519
3585.2,3594.868117
3586.6,3594.786147
3585.2,3594.702593
3586.8,3594.617445
3585.2,3594.530701
3585.8,3594.442364
3585.8,3594.352436
3587.6,3594.260932
3585.8,3594.167887
3586,3594.073341
3587.6,3593.977333
3587.6,3593.879917
3587.6,3593.781169
3588,3593.681174
3587.6,3593.580018
3587.4,3593.477789
3585.8,3593.374562
3585.8,3593.270391
3586.8,3593.165315
3585.8,3593.059381
3587,3592.952638
3585.8,3592.845141
3585.8,3592.736941
3587,3592.628088
3587,3592.51864
3586.2,3592.408668
3586.8,3592.298241
3585.8,3592.18742
3585.8,3592.076261
3586,3591.964812
3585.6,3591.853117
3585.4,3591.741221
3585.6,3591.629162
3585.6,3591.51698
3585.4,3591.404716
3585.6,3591.292411
3585.6,3591.180108
3585.6,3591.067851
3586.6,3590.95569
3585.6,3590.843682
3586.2,3590.731887
3586.2,3590.620362
3585.8,3590.509166
3586.6,3590.398357
3586.8,3590.287998
3587,3590.178162
3586.8,3590.068924
3586,3589.960358
3586,3589.852521
3586,3589.745461
