value,filter
3588.6,-4.347093055
3588.6,-4.239560027
3586.8,-4.13261256
3587,-4.027948297
3586.8,-3.930399918
3588.6,-3.843188551
3588.6,-3.764733989
3588,-3.690473219
3588.6,-3.616791595
3586.6,-3.542724047
3588.6,-3.469736685
3588.6,-3.398529064
3588.6,-3.326875636
3589.6,-3.251360156
3589.6,-3.167962816
3589.6,-3.07252043
3588.2,-2.963424113
3588,-2.843753543
3589.4,-2.719007376
3588,-2.593164991
3589.2,-2.468807357
3589.2,-2.347540663
3589,-2.229365676
3589,-2.114131431
3589.4,-2.002129006
3590,-1.892676173
3590,-1.783479671
3589.4,-1.672235516
3590.8,-1.557742428
3591,-1.437985649
3591.2,-1.309291824
3590.8,-1.168626677
3590,-1.015984744
3590.8,-0.854479398
3589,-0.688967932
3591,-0.52498128
3590,-0.366675443
3591,-0.215753893
3591.2,-0.072099232
3591.2,0.065966167
3593.8,0.202233233
3594,0.344504799
3593,0.502313541
3593,0.680779379
3594,0.880200729
3594.4,1.100327627
3594.8,1.341948274
3595,1.60570474
3595,1.8910069
3593.6,2.194528995
3595.6,2.510039785
3594.6,2.831524968
3595.2,3.1543871
3595,3.474143096
3595.2,3.786515424
3595.2,4.087783812
3595,4.374602036
3594,4.643040654
3594,4.8875696
3593.8,5.102139055
3594.6,5.282644631
3594.2,5.428259297
3594.8,5.540787373
3594,5.623233533
3594.8,5.678873557
3593,5.710444172
3593,5.718495748
3592.4,5.70120969
3592,5.656213636
3591,5.581044535
3591,5.472933397
3590.8,5.330072818
3591.4,5.153412217
3590.8,4.947040626
3591,4.716730182
3593,4.470190524
3592,4.218611972
3592,3.973735508
3592,3.744083324
3592,3.535403737
3591.4,3.351376809
3591.4,3.193088818
3591.4,3.059639823
3594.4,2.951580297
3594.8,2.875123083
3594.2,2.839984766
3590.8,2.850185895
3591.4,2.898440054
3591.4,2.971267295
3594,3.058461113
3591.4,3.155874121
3592.6,3.260518577
3592.6,3.368394577
3592.6,3.476808795
3592.6,3.584251071
3594,3.690251551
3593.6,3.796747088
3593.6,3.906662523
3594.2,4.021896028
3592.6,4.142810814
3592.6,4.266726023
3594,4.389139117
3594,4.508287539
3594.2,4.62565167
3595,4.743760033
3595,4.865851686
3595,4.995171294
3595,5.133498441
3595,5.280900242
3594.4,5.435795353
3595.2,5.595237687
3594,5.755757548
3594.8,5.913435776
3594.8,6.064693171
3595.2,6.207801677
3595,6.3425847
3594.4,6.468742775
3594.6,6.584711573
3592.6,6.687095335
3592.8,6.769846907
3594.6,6.827204911
3594.6,6.859184578
3593.4,6.870189061
3593.4,6.863222468
3593.2,6.838877354
3593.6,6.797812264
3593.2,6.7418944
3594.2,6.674215572
3594.2,6.599569941
3594.2,6.523968639
3594.2,6.452821735
3593.2,6.389415639
3594.2,6.334658623
3594.2,6.289107773
3594.2,6.254378541
3593.4,6.231418523
3593,6.218523826
3593.4,6.211931223
3592.6,6.207744238
3593.4,6.202733373
3594.4,6.195834282
3594.4,6.189752762
3594.4,6.189076117
3594.6,6.197599461
3594.6,6.217893473
3594.6,6.251476232
3594.4,6.298567129
3594.6,6.358127587
3594.6,6.428518338
3594,6.507579349
3594,6.591896737
3593.2,6.676665028
3594.2,6.756803552
3594.4,6.829288252
3594.4,6.89410281
3594.2,6.952373609
3594.2,7.004740987
3594.4,7.051507661
3594.6,7.093449199
3594.6,7.132063706
3594.4,7.168865076
3594.8,7.204887892
3594.2,7.24078297
3594.2,7.27634807
3594.6,7.310669149
3594.8,7.343644839
3595,7.376574398
3595,7.41136993
3595,7.44969328
3595,7.492505753
3595.2,7.540207236
3595.4,7.593175744
3595.6,7.652137252
3596,7.718257921
3595.4,7.792623169
3595.4,7.874910431
3595,7.96283433
3596,8.053547167
3596,8.145754821
3596,8.23984681
3596.2,8.336368347
3596.2,8.43551125
3595.4,8.536644595
3596,8.63762729
3596,8.736091247
3596,8.830764059
3596.2,8.921079621
3596,9.006735817
3596,9.087377454
3596.4,9.162659835
3596.8,9.233261429
3595.4,9.300274557
3597,9.363651486
3597,9.423965343
3596.6,9.483582235
3596,9.543758916
3596.6,9.603394531
3597,9.661490616
3596.6,9.718565203
3596.6,9.77518675
3597,9.831236962
3597,9.886963887
3596,9.942439688
3596,9.995677041
3596,10.0431203
3596,10.08174997
3596.8,10.11037783
3597.6,10.13085542
3597,10.1477559
3597,10.16535035
3597,10.18579915
3597,10.20995054
3597.4,10.23837313
3597.4,10.27193973
3597,10.3113772
3597.8,10.35668466
3597.2,10.40774205
3597.2,10.46404456
3597,10.52385342
3597.8,10.58521182
3598,10.64777217
3598.6,10.71327214
3598,10.78421443
3598.8,10.86234925
3598.2,10.94849313
3599,11.04286685
3599,11.14563628
3599.2,11.25728614
3599.2,11.37802669
3598.2,11.50657089
3598.2,11.63897053
3598.4,11.7696469
3598.4,11.89388084
3598,12.00825844
3598,12.10967916
3599,12.1960565
3598.4,12.26772189
3598.8,12.32645503
3598.8,12.37417337
3598.8,12.41298049
3599,12.44503907
3599.2,12.47260632
3598.8,12.49790223
3597.4,12.52121172
3597.4,12.53913475
3597.2,12.54623631
3597.2,12.53798421
3597.2,12.51177551
3597,12.46671905
3597.2,12.40325674
3598.4,12.3239318
3598.6,12.23475213
3597,12.14285784
3596.2,12.05122072
3596.4,11.95770704
3597.4,11.85984683
3597.6,11.75883559
3596,11.6577869
3597,11.55791806
3596.4,11.45906931
3597,11.36179765
3597.4,11.26794303
3597.8,11.18107322
3597.6,11.10570458
3598,11.0457201
3597.8,11.00384864
3597.8,10.98149455
3597.4,10.97827221
3597.4,10.99192696
3597.6,11.01922765
3597.8,11.05734408
3597.6,11.10423394
3597.8,11.15804655
3597,11.21643608
3597.4,11.2761306
3597.4,11.33381207
3598,11.38770997
3596.6,11.43709916
3596.4,11.47968848
3596,11.51089469
3596.4,11.52612452
3596.6,11.52306072
3597.2,11.50256566
3597,11.46815129
3596.6,11.42392589
3595.6,11.37202065
3597.2,11.31271721
3597.2,11.24795522
3595.6,11.18128907
3597.2,11.11456835
3597.2,11.04947383
3595.2,10.98829672
3595,10.92958918
3596.4,10.86898724
3596.4,10.80507912
3596.4,10.74023939
3596.6,10.67765875
3596.6,10.62020621
3595,10.56923451
3594.6,10.52217787
3595,10.47348568
3595,10.4186423
3595,10.35579129
3593.6,10.28381004
3593.6,10.19998411
3593.6,10.10072541
3593.6,9.984070434
3592.4,9.849520174
3592,9.695777566
3592,9.520627112
3593.4,9.324095674
3593.4,9.11118991
3592.6,8.889875886
3592.4,8.666576748
3592.4,8.445064196
3592.4,8.228174288
3592.2,8.018608606
3592.2,7.818647815
3592.2,7.630103748
3593.2,7.455270037
3593,7.297949931
3593.2,7.162535717
3592.2,7.05165924
3592.8,6.96507572
3594.8,6.902514991
3593.2,6.866473001
3594.8,6.859813711
3594.8,6.884360182
3593,6.94052701
3593.2,7.024103288
3593.4,7.127089518
3593.8,7.242262563
3592.6,7.363960014
3594.4,7.48704281
3594,7.608531472
3593.4,7.72752018
3592.6,7.841550693
